Imagine the following situation. You are at work, and your boss gives you a strange task. The task is to create a word chain puzzle. 
The rules are as follows:

You must provide a starting word and a target word. 
Only meaningful three-letter English words can be used. 
The solution is to create a word chain from the starting word to the target word 
by changing only one letter at a time, and the changed word must also be a meaningful three-letter English word. 

Let's look at an example: Starting word: FIT Target word: CAT Possible solution: FIT-FAT-CAT 

After outlining the situation, your boss asks you to create 1,000 such puzzles, 
specifying the starting and target words and the solutions. 
Obviously, these are little brain teasers, so very simple solutions like CAR-BAR puzzles are not suitable; 
you need more difficult puzzles that require the use of several intermediate words. 
Unfortunately, you can't program, so you have to rely on your brain and creativity. 

As a hint, I will give you the words you can use when creating the puzzle. Please note that you should only use words from the list below when creating and solving the puzzle:
aah aal aas aba abo abs aby ace act add ado ads adz aff aft aga age ago ags aha ahi
ahi ahs aid ail aim ain air ais ait ala alb ale all alp als alt ama ami amp amu ana
ana and ane ani ant any ape apo app apt arb arc are arf ark arm ars art ash ask asp
asp ass ate att auk ava ave avo awa awe awl awn axe aye ays azo baa bad bag bah bal
bal bam ban bap bar bas bat bay bed bee beg bel ben bes bet bey bib bid big bin bio
bio bis bit biz boa bob bod bog boo bop bos bot bow box boy bra bro brr bub bud bug
bug bum bun bur bus but buy bye bys cab cad cam can cap car cat caw cay cee cel cep
cep chi cig cis cob cod cog col con coo cop cor cos cot cow cox coy coz cru cry cub
cub cud cue cum cup cur cut cwm dab dad dag dah dak dal dam dan dap daw day deb dee
dee def del den dev dew dex dey dib did die dif dig dim din dip dis dit doc doe dog
dog dol dom don dor dos dot dow dry dub dud due dug duh dui dun duo dup dye ear eat
eat eau ebb ecu edh eds eek eel eff efs eft egg ego eke eld elf elk ell elm els eme
eme ems emu end eng ens eon era ere erg ern err ers ess eta eth eve ewe eye fab fad
fad fag fan far fas fat fax fay fed fee feh fem fen fer fes fet feu few fey fez fib
fib fid fie fig fil fin fir fit fix fiz flu fly fob foe fog foh fon fop for fou fox
fox foy fro fry fub fud fug fun fur gab gad gae gag gal gam gan gap gar gas gat gay
gay ged gee gel gem gen get gey ghi gib gid gie gig gin gip git gnu goa gob god goo
goo gor gos got gox goy gul gum gun gut guv guy gym gyp had hae hag hah haj ham hao
hao hap has hat haw hay heh hem hen hep her hes het hew hex hey hic hid hie him hin
hin hip his hit hmm hob hod hoe hog hon hop hos hot how hoy hub hue hug huh hum hun
hun hup hut hyp ice ich ick icy ids iff ifs igg ilk ill imp ink inn ins ion ire irk
irk ism its ivy jab jag jam jar jaw jay jee jet jeu jew jib jig jin job joe jog jot
jot jow joy jug jun jus jut kab kae kaf kas kat kay kea kef keg ken kep kex key khi
khi kid kif kin kip kir kis kit koa kob koi kop kor kos kue kye lab lac lad lag lam
lam lap lar las lat lav law lax lay lea led lee leg lei lek les let leu lev lex ley
ley lez lib lid lie lin lip lis lit lob log loo lop lot low lox lug lum luv lux lye
lye mac mad mae mag man map mar mas mat maw max may med meg mel mem men met mew mho
mho mib mic mid mig mil mim mir mis mix moa mob moc mod mog mol mom mon moo mop mor
mor mos mot mow mud mug mum mun mus mut myc nab nae nag nah nam nan nap naw nay neb
neb nee neg net new nib nil nim nip nit nix nob nod nog noh nom noo nor nos not now
now nth nub nun nus nut oaf oak oar oat oba obe obi oca oda odd ode ods oes off oft
oft ohm oho ohs oil oka oke old ole oms one ono ons ooh oot ope ops opt ora orb orc
orc ore ors ort ose oud our out ova owe owl own oxo oxy pac pad pah pal pam pan pap
pap par pas pat paw pax pay pea pec ped pee peg peh pen pep per pes pet pew phi pht
pht pia pic pie pig pin pip pis pit piu pix ply pod poh poi pol pom poo pop pot pow
pow pox pro pry psi pst pub pud pug pul pun pup pur pus put pya pye pyx qat qis qua
qua rad rag rah rai raj ram ran rap ras rat raw rax ray reb rec red ree ref reg rei
rei rem rep res ret rev rex rho ria rib rid rif rig rim rin rip rob roc rod roe rom
rom rot row rub rue rug rum run rut rya rye sab sac sad sae sag sal sap sat sau saw
saw sax say sea sec see seg sei sel sen ser set sew sex sha she shh shy sib sic sim
sim sin sip sir sis sit six ska ski sky sly sob sod sol som son sop sos sot sou sow
sow sox soy spa spy sri sty sub sue suk sum sun sup suq syn tab tad tae tag taj tam
tam tan tao tap tar tas tat tau tav taw tax tea ted tee teg tel ten tet tew the tho
tho thy tic tie til tin tip tis tit tod toe tog tom ton too top tor tot tow toy try
try tsk tub tug tui tun tup tut tux twa two tye udo ugh uke ulu umm ump uns upo ups
ups urb urd urn urp use uta ute uts vac van var vas vat vau vav vaw vee veg vet vex
vex via vid vie vig vim vis voe vow vox vug vum wab wad wae wag wan wap war was wat
wat waw wax way web wed wee wen wet wha who why wig win wis wit wiz woe wog wok won
won woo wop wos wot wow wry wud wye wyn xis yag yah yak yam yap yar yaw yay yea yeh
yeh yen yep yes yet yew yid yin yip yob yod yok yom yon you yow yuk yum yup zag zap
zap zas zax zed zee zek zep zig zin zip zit zoa zoo zuz zzz


Now put yourself in this imaginary situation and complete the task your boss has asked you to do. 
You can put the results in a .txt file or provide them in some other way.
